Report,,,"=DISPIMG(""ID_24FF91F9E61D40D0BFEF396E55F21BAF"",1)",,,
,,,,,,,
Summary,,,,,,,
Serial Number,BDDGTC035226,,,,,,
Configuration Name,DTU_FCT_RX_RY2,,,,,,
River EOL Doc Version,T0_DTU_V2.1,,,,,,
Date,04-08-2026_4.17.00 PM,,,,,,
Operator,Amaljith_12571,,,,,,
DUT,1,,,,,,
Cycle time,523.39,,,,,,
Overall Results,Pass,,,,,,
,,,,,,,
Results,,,,,,,
ScriptName,Stepname,LSL,ACTUAL,USL,RESULT,UNIT,Time(s)
Right Indicator Check,Read Vol_TP51,0.00,0.01,0.10,Pass,V,6.81
Right Indicator Check,Read_OFF_R,,0,,Pass,,1.04
Tactile Switch Check,Turn ON SW1,,,,,,1.53
Tactile Switch Check,Read_ON_SW1,,1,,Pass,,1.54
Tactile Switch Check,Turn OFF SW1,,,,,,1.54
Tactile Switch Check,Turn ON SW2,,,,,,1.53
Tactile Switch Check,Read_ON_SW2,,1,,Pass,,1.54
Tactile Switch Check,Turn OFF SW2,,,,,,1.53
GPS_Test,GPS_CMD(1),,,,,,60.54
GPS_Test,Read_GPS,,12.814,77.669,,Pass,,1.54
FCT Termination,Uninit FCT,,,,,,1.54
FCT Termination,Turn OFF +14V,,,,,,1.53
FCT Termination,Off14V,,,,,,1.54
FCT Termination,off12V,,,,,,1.54
