Images,REQ_SCORE,No. Of Matches_req
battery_symbol.jpg,900,1
bluetooth.jpg,920,1
bottom_symbol.jpg,800,1
Charging_ocr.jpg,850,1
High_beam.jpg,930,1
hillhold.jpg,900,1
left_arc.jpg,950,1
left_dail_strings.jpg,800,1
left_orange_arc.jpg,930,1
Motor_and_indicators.jpg,860,1
orange_icons.jpg,950,1
Plug_lock.jpg,920,1
red_symbols.jpg,970,1
Regen.jpg,920,1
Ride.jpg,850,1
Right_arc.jpg,860,1
right_blue_boxes.jpg,920,1
Right_orange_arc.jpg,920,1
Sleepmode.jpg,900,1
warning_red.jpg,970,1
